KAROL G - Tusa | Artist Average: 9515657.33 | Streams Average: 7170010.00
Jack Harlow - Tyler Herro | Artist Average: 8200571.50 | Streams Average: 8810815.00
J Balvin - UN DIA (ONE DAY) (Feat. Tainy) | Artist Average: 8473837.67 | Streams Average: 13995290.33
Ozuna - Una Locura | Artist Average: 9449291.17 | Streams Average: 10967046.83
Camilo - Vida de Rico | Artist Average: 8146432.57 | Streams Average: 12491523.00
Cardi B - WAP (feat. Megan Thee Stallion) | Artist Average: 30942546.83 | Streams Average: 30942546.83
Harry Styles - Watermelon Sugar | Artist Average: 12028330.84 | Streams Average: 21892719.50
Pop Smoke - What You Know Bout Love | Artist Average: 11194540.79 | Streams Average: 19210432.00
Jack Harlow - WHATS POPPIN | Artist Average: 7948223.75 | Streams Average: 4818706.50
Jack Harlow - WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix | Artist Average: 8346788.11 | Streams Average: 9445477.50
Billie Eilish - when the party's over | Artist Average: 6172108.79 | Streams Average: 5083807.83
Ava Max - Who's Laughing Now | Artist Average: 7112390.14 | Streams Average: 4526982.00
CJ - Whoopty | Artist Average: 5097413.00 | Streams Average: 5097413.00
Juice WRLD - Wishing Well | Artist Average: 8042992.15 | Streams Average: 10433017.83
Halsey - Without Me | Artist Average: 5058127.50 | Streams Average: 5058127.50
Big Sean - Wolves (feat. Post Malone) | Artist Average: 6357099.33 | Streams Average: 6357099.33
Shawn Mendes - Wonder | Artist Average: 12399524.00 | Streams Average: 16543406.50
Oasis - Wonderwall - Remastered | Artist Average: 4622205.00 | Streams Average: 4622205.00
Bad Bunny - Yo Perreo Sola | Artist Average: 5186616.40 | Streams Average: 5209054.40
Tate McRae - you broke me first | Artist Average: 17884328.83 | Streams Average: 17884328.83
Vedo - You Got It | Artist Average: 6856512.33 | Streams Average: 6856512.33
BLACKPINK - You Never Know | Artist Average: 9861331.38 | Streams Average: 8372250.00
Joji - Your Man | Artist Average: 5712255.27 | Streams Average: 6499079.50
Dan + Shay - 10,000 Hours (with Justin Bieber) | Artist Average: 4873929.80 | Streams Average: 4873929.80
Polo G - 21 | Artist Average: 5939452.29 | Streams Average: 5151406.00
Money Man - 24 (feat. Lil Baby) | Artist Average: 5432023.33 | Streams Average: 5432023.33
Ariana Grande - 7 rings | Artist Average: 9617321.00 | Streams Average: 5723980.00
Harry Styles - Adore You | Artist Average: 11347420.72 | Streams Average: 8396381.67
